id,shortcut,description,program,device_gram,program_gram
2237,ArrowUp / ArrowDown,Shows Command History,Red Hat Enterprise,linux,red_hat_enterprise
2238,Ctrl + N,Opens a new browser window,Red Hat Enterprise,linux,red_hat_enterprise
2239,Ctrl + T,Opens a new tab for browsing multiple websites within one browser window,Red Hat Enterprise,linux,red_hat_enterprise
2240,Ctrl + Y,Focus and clear the search box,Rhythmbox,linux,rhythmbox
2241,Ctrl + J,Jump to currently playing track,Rhythmbox,linux,rhythmbox
2242,Ctrl + E,Extract audio from CD,Rhythmbox,linux,rhythmbox
2243,Ctrl + A,Select all,Rhythmbox,linux,rhythmbox
2244,Ctrl + Shift + A,Deselect all,Rhythmbox,linux,rhythmbox
2245,Alt + Enter,Track properties,Rhythmbox,linux,rhythmbox
2246,Ctrl + K / Ctrl + Shift + T,Show/hide playlist in sidebar,Rhythmbox,linux,rhythmbox
2247,Ctrl + Q,Quit program,Rhythmbox,linux,rhythmbox
2248,F1,Help,Rhythmbox,linux,rhythmbox
2249,Ctrl + W,Close window (leave program running),Rhythmbox,linux,rhythmbox
2250,Ctrl + ArrowUp / ArrowDown,Volume up/down,Rhythmbox,linux,rhythmbox
2251,Ctrl + R,Toggle repeat mode,Rhythmbox,linux,rhythmbox
2252,Ctrl + O,Add folder to the music library,Rhythmbox,linux,rhythmbox
2253,Ctrl + P,Add podcast feed,Rhythmbox,linux,rhythmbox
2254,Ctrl + N,New playlist,Rhythmbox,linux,rhythmbox
2255,Ctrl + D,Toggle small display mode,Rhythmbox,linux,rhythmbox
2256,F11,Toggle fullscreen mode,Rhythmbox,linux,rhythmbox
2257,Ctrl + U,Toggle shuffle mode,Rhythmbox,linux,rhythmbox
2258,F9,Show/hide side pane,Rhythmbox,linux,rhythmbox
2259,Ctrl + B,Show/hide music browser,Rhythmbox,linux,rhythmbox
2260,Alt + ArrowLeft / ArrowRight,Jump to previous/next track,Rhythmbox,linux,rhythmbox
2261,Ctrl + I,Add internet radio station,Rhythmbox,linux,rhythmbox
2262,F5,Play,MyLibreOfficeMediaFKeys,linux,mylibreofficemediafkeys
2263,F7,Stop,MyLibreOfficeMediaFKeys,linux,mylibreofficemediafkeys
2264,F8,Raise Speed 5%,MyLibreOfficeMediaFKeys,linux,mylibreofficemediafkeys
2265,F2,Rewind to beginning,MyLibreOfficeMediaFKeys,linux,mylibreofficemediafkeys
2266,F3,Rewind 5 seconds,MyLibreOfficeMediaFKeys,linux,mylibreofficemediafkeys
2267,F4,Lower Speed 5%,MyLibreOfficeMediaFKeys,linux,mylibreofficemediafkeys
2268,F9,Forward 5 seconds,MyLibreOfficeMediaFKeys,linux,mylibreofficemediafkeys
2269,Ctrl + W,Close,Pidgin,linux,pidgin
2270,Ctrl + T,File Transfers,Pidgin,linux,pidgin
2271,Ctrl + M,New Instant Message...,Pidgin,linux,pidgin
2272,F1,Online Help,Pidgin,linux,pidgin
2273,Ctrl + U,Plugins,Pidgin,linux,pidgin
2274,Ctrl + L,Clear Scrollback,Pidgin,linux,pidgin
2275,F2,Show Timestamps,Pidgin,linux,pidgin
2276,Ctrl + A,Manage,Pidgin,linux,pidgin
2277,Ctrl + P,Preferences,Pidgin,linux,pidgin
2278,Ctrl + B,Add Buddy,Pidgin,linux,pidgin
2279,Ctrl + Q,Quit,Pidgin,linux,pidgin
2280,Ctrl + C,Join a Chat,Pidgin,linux,pidgin
2281,Ctrl + I,Get User Info,Pidgin,linux,pidgin
2282,Ctrl + S,Mute Sounds,Pidgin,linux,pidgin
2283,Ctrl + F,Find...,Pidgin,linux,pidgin
2284,Ctrl + O,Get Info,Pidgin,linux,pidgin
2285,Shift + Ctrl + y,Copy contact to folder,Novell Evolution 2,linux,novell_evolution_2
2286,Shift + Ctrl + v,Move contact to folder,Novell Evolution 2,linux,novell_evolution_2
2287,Shift + Ctrl + e,New meeting,Novell Evolution 2,linux,novell_evolution_2
2288,Shift + Ctrl + t,New task,Novell Evolution 2,linux,novell_evolution_2
2289,Ctrl + t,Go to today in calendar,Novell Evolution 2,linux,novell_evolution_2
2290,Ctrl + p,Print selected item,Novell Evolution 2,linux,novell_evolution_2
2291,Ctrl + q,Quit program,Novell Evolution 2,linux,novell_evolution_2
2292,Shift + Ctrl + l,New contact list,Novell Evolution 2,linux,novell_evolution_2
2293,Shift + Ctrl + o,New memo,Novell Evolution 2,linux,novell_evolution_2
2294,Shift + Ctrl + c,New contact,Novell Evolution 2,linux,novell_evolution_2
2295,Ctrl + s,Save selected item,Novell Evolution 2,linux,novell_evolution_2
2296,delete,Delete selected item,Novell Evolution 2,linux,novell_evolution_2
2297,Ctrl + w,Close current window,Novell Evolution 2,linux,novell_evolution_2
2298,Ctrl + g,Go to specific date in calendar,Novell Evolution 2,linux,novell_evolution_2
2299,Shift + Ctrl + a,New appointment,Novell Evolution 2,linux,novell_evolution_2
2300,Ctrl + 5,Jump to Memos,Novell Evolution 2,linux,novell_evolution_2
2301,f6,Focus search bar,Novell Evolution 2,linux,novell_evolution_2
2302,Shift + Ctrl + q,Clear search bar,Novell Evolution 2,linux,novell_evolution_2
2303,Ctrl + n,New item in current mode (Mail/Contact/Appointment/Task/Memo),Novell Evolution 2,linux,novell_evolution_2
2304,Ctrl + 2,Jump to Contacts,Novell Evolution 2,linux,novell_evolution_2
2305,Ctrl + 3,Jump to Calendar,Novell Evolution 2,linux,novell_evolution_2
2306,Ctrl + 4,Jump to Tasks,Novell Evolution 2,linux,novell_evolution_2
2307,Ctrl + 1,Jump to Mail,Novell Evolution 2,linux,novell_evolution_2
2308,Shift + Ctrl + m,New message,Novell Evolution 2,linux,novell_evolution_2
2309,Ctrl + y,Apply message filters,Novell Evolution 2,linux,novell_evolution_2
2310,enter  or  Ctrl + o,Open selected message in its own window,Novell Evolution 2,linux,novell_evolution_2
2311,  or  [,Previous message in list,Novell Evolution 2,linux,novell_evolution_2
2312,f9,Send and receive,Novell Evolution 2,linux,novell_evolution_2
2313,.  or  ],Next message in list,Novell Evolution 2,linux,novell_evolution_2
2314,Ctrl + r,Reply to sender,Novell Evolution 2,linux,novell_evolution_2
2315,backspace,Scroll up in preview pane,Novell Evolution 2,linux,novell_evolution_2
2316,space,Scroll down in preview pane,Novell Evolution 2,linux,novell_evolution_2
2317,Ctrl + l,Reply to list,Novell Evolution 2,linux,novell_evolution_2
2318,Ctrl + f,Forward message,Novell Evolution 2,linux,novell_evolution_2
2319,Shift + Ctrl + r,Reply to all recipients,Novell Evolution 2,linux,novell_evolution_2
2320,F9,Execute target after building with make,KDevelop,linux,kdevelop
2321,F10,Stop build,KDevelop,linux,kdevelop
2322,Ctrl + F8,Compile file,KDevelop,linux,kdevelop
2323,F8,Make / build target,KDevelop,linux,kdevelop
2324,Ctrl + B,Tgoggle Output window on bottom of main view,KDevelop,linux,kdevelop
2325,Ctrl + Alt + A,Add bookmark,KDevelop,linux,kdevelop
2326,Ctrl + Alt + C,Clear bookmark entries for top editing window,KDevelop,linux,kdevelop
2327,Shift + F7,Open file properties,KDevelop,linux,kdevelop
2328,Alt + F9,Execute with Arguments,KDevelop,linux,kdevelop
2329,Ctrl + T,Toggle Tree window on the left side,KDevelop,linux,kdevelop
2330,Ctrl + D,Switch to Dialog editor,KDevelop,linux,kdevelop
2331,Ctrl + G,Goto line,KDevelop,linux,kdevelop
2332,Ctrl + Insert,Insert file at current cursor position,KDevelop,linux,kdevelop
2333,Ctrl + A,Select all,KDevelop,linux,kdevelop
2334,Ctrl + I,Indent selection,KDevelop,linux,kdevelop
2335,Ctrl + U,Un-indent selection,KDevelop,linux,kdevelop
2336,F4,jum to next error,KDevelop,linux,kdevelop
2337,Ctrl + X / Ctrl + C / Ctrl + V,Cut copy paste,KDevelop,linux,kdevelop
2338,Ctrl + Y,Redo,KDevelop,linux,kdevelop
2339,Ctrl + Alt + F,Search in files,KDevelop,linux,kdevelop
2340,Ctrl + Z,Undo,KDevelop,linux,kdevelop
2341,Ctrl + Q,Quit KDevelop,KDevelop,linux,kdevelop
2342,F3,Repeat search,KDevelop,linux,kdevelop
2343,Ctrl + R,Replace,KDevelop,linux,kdevelop
2344,Ctrl + F,Search,KDevelop,linux,kdevelop
2345,Ctrl + O,Open file dialog,KDevelop,linux,kdevelop
2346,Ctrl + S,Save file,KDevelop,linux,kdevelop
2347,Ctrl + P,Print file dialog,KDevelop,linux,kdevelop
2348,Ctrl + W,Close file in top editing window,KDevelop,linux,kdevelop
2349,Ctrl + N,New file dialog,KDevelop,linux,kdevelop
2350,Ctrl + A,Select all items,Linux Mint,linux,linux_mint
2351,Home / End,Select the first or last item in the window,Linux Mint,linux,linux_mint
2352,Shift + Arrow Keys,Select a range of items in the indicated direction,Linux Mint,linux,linux_mint
2353,Ctrl + S,Select items matching a pattern (opens a dialog where you type in a pattern. All items matching that pattern are selected),Linux Mint,linux,linux_mint
2354,Shift + left click,Select a range of items,Linux Mint,linux,linux_mint
2355,Arrow Keys,Select an item in the indicated direction,Linux Mint,linux,linux_mint
2356,Alt + ArrowRight / ArrowLeft,Navigate one directory forward / back,Linux Mint,linux,linux_mint
2357,Ctrl + left click,Select multiple items,Linux Mint,linux,linux_mint
2358,Ctrl + 2,List view,Linux Mint,linux,linux_mint
2359,Alt + ArrowUp,Navigate up one directory,Linux Mint,linux,linux_mint
2360,Alt + Home,Navigate to the home directory,Linux Mint,linux,linux_mint
2361,Ctrl + Shift + N,New folder,Linux Mint,linux,linux_mint
2362,Ctrl + L,Focus the location bar,Linux Mint,linux,linux_mint
2363,F2,Rename selected item,Linux Mint,linux,linux_mint
2364,Ctrl + Z / Ctrl + Y,Undo / redo,Linux Mint,linux,linux_mint
2365,Ctrl + V,Paste,Linux Mint,linux,linux_mint
2366,Ctrl + X,Cut selected item,Linux Mint,linux,linux_mint
2367,Alt + Enter,Properties of selected item,Linux Mint,linux,linux_mint
2368,Ctrl + C,Copy selected item,Linux Mint,linux,linux_mint
2369,Shift + F10  OR right click,Open the context menu of the selected item,Linux Mint,linux,linux_mint
2370,Ctrl + Alt + T,Open a terminal,Linux Mint,linux,linux_mint
2371,Win + E,Open File Manager,Linux Mint,linux,linux_mint
2372,Alt + F2,Open the run dialog,Linux Mint,linux,linux_mint
2373,Win,Open the Applications Menu,Linux Mint,linux,linux_mint
2374,Win + D,Show desktop,Linux Mint,linux,linux_mint
2375,Ctrl + N,New window,Linux Mint,linux,linux_mint
2376,Ctrl + W,Close tab,Linux Mint,linux,linux_mint
2377,F10,Open file menu,Linux Mint,linux,linux_mint
2378,Ctrl + F,Find,Linux Mint,linux,linux_mint
2379,F8  then  Arrow Keys,Resize panes. Press F8 to cycle through the separators between panes (the selected one will be highlighted). Then use the arrow keys to resize the separator.,Linux Mint,linux,linux_mint
2380,Ctrl + Shift + PageUp / PageDown,Move tab left / right,Linux Mint,linux,linux_mint
2381,F9,Toggle left pane,Linux Mint,linux,linux_mint
2382,Ctrl + PageUp / PageDown,Next / previous tab,Linux Mint,linux,linux_mint
2383,Alt + 1 ... 9,Switch to tab 1 ... 9,Linux Mint,linux,linux_mint
2384,Ctrl + T,New tab,Linux Mint,linux,linux_mint
2385,Ctrl + D,Add bookmark (a shortcut in the left pane),Linux Mint,linux,linux_mint
2386,F6,Cycle focus between panes,Linux Mint,linux,linux_mint
2387,Ctrl + B,Edit bookmarks (Opens a dialog where you can sort rename and delete the shortcuts that appear in the left pane),Linux Mint,linux,linux_mint
2388,F4,Toggle Terminal in top pane (require the Nemo Terminal plugin),Linux Mint,linux,linux_mint
2389,F3,Toggle Extra Pane (split view that shows two folder side by side),Linux Mint,linux,linux_mint
2390,Ctrl + = / -  OR  Ctrl  +  Mousewheel,Increase / decrease icon size,Linux Mint,linux,linux_mint
2391,Ctrl + 0  (zero),Reset icon size,Linux Mint,linux,linux_mint
2392,Ctrl + 3,Compact view,Linux Mint,linux,linux_mint
2393,Ctrl + H,Show hidden files,Linux Mint,linux,linux_mint
2394,Ctrl + 1,Icon view,Linux Mint,linux,linux_mint
2395,Delete,Delete selected item,Linux Mint,linux,linux_mint
2396,Ctrl + M,Create shortcut to selected item,Linux Mint,linux,linux_mint
2397,Shift + Space,Preview selected item,Linux Mint,linux,linux_mint
2398,Ctrl + Shift + I,Invert selection,Linux Mint,linux,linux_mint
2399,Ctrl + Shift + O,Open selected item in new tab,Linux Mint,linux,linux_mint
2400,Ctrl + O  OR  Alt + ArrowDown  OR  Enter,Open selected item,Linux Mint,linux,linux_mint
2401,Win + Shift + Arrow Keys,Move current window to different monitor (left/right/up/down),Linux Mint,linux,linux_mint
2402,Alt + F4,Close window,Linux Mint,linux,linux_mint
2403,Alt + F5,Unmaximize window,Linux Mint,linux,linux_mint
2404,Ctrl + Alt + ArrowLeft / ArrowRight,Move to left / right workspace,Linux Mint,linux,linux_mint
2405,Ctrl + Alt + ArrowDown / Alt + Esc,Toggle Scale view (display all windows on current Workspace),Linux Mint,linux,linux_mint
2406,Ctrl + Q,Close all windows,Linux Mint,linux,linux_mint
2407,Ctrl + Alt + Shift + ArrowLeft / ArrowRight,Move current window to left /right workspace,Linux Mint,linux,linux_mint
2408,Ctrl + Alt + ArrowUp,Toggle Expo view (display all Workspaces),Linux Mint,linux,linux_mint
2409,Alt + `,Cycle through open windows of the same application on ANY Workspace,Linux Mint,linux,linux_mint
2410,Alt + Tab,Cycle through open windows on current Workspace,Linux Mint,linux,linux_mint
2411,Alt + P,Open the plugin manager,Linux Mint,linux,linux_mint
2412,Win + L,Toggle looking glass debugging tool,Linux Mint,linux,linux_mint
2413,Ctrl + Alt + Shift + R,Toggle desktop recording (video will be saved to your Home folder),Linux Mint,linux,linux_mint
2414,Print Screen,Take a screenshot,Linux Mint,linux,linux_mint
2415,Ctrl + Win + Arrow Keys,Tile window to the left/right/top/bottom half of the screen. Other maximized windows will fill in the remaining space.,Linux Mint,linux,linux_mint
2416,Alt + Space,Open window menu,Linux Mint,linux,linux_mint
2417,Win + Arrow Keys,Snap window to left/right/top/bottom half of screen. Use in combination to snap to corners e.g. right then up. Key back toward the middle of the screen to unsnap (e.g. for a right-snapped window push super+arrow left),Linux Mint,linux,linux_mint
2418,Alt + F10,Toggle maximize / unaximize window,Linux Mint,linux,linux_mint
2419,Alt + F8,Move window,Linux Mint,linux,linux_mint
2420,Ctrl + Alt + Backspace,Restart the X server (WARNING: this will close all running applications!),Linux Mint,linux,linux_mint
2421,Win + P,Re-detect display devices,Linux Mint,linux,linux_mint
2422,Ctrl + Alt + Esc,Restart Cinnamon preserving all applications and windows (version 2.6+),Linux Mint,linux,linux_mint
2423,Ctrl + Alt + Print Screen,Copy a screenshot of the current window to the clipboard,Linux Mint,linux,linux_mint
2424,Ctrl + Alt + End,Open the Shut Down menu (Suspend / Restart / Shut Down),Linux Mint,linux,linux_mint
2425,Ctrl + Alt + L,Lock screen,Linux Mint,linux,linux_mint
2426,Ctrl + Alt + Delete,Log out,Linux Mint,linux,linux_mint
2427,Alt + F7,Resize window,Linux Mint,linux,linux_mint
2428,"Alt + Win + = / - 
or  Alt + Mousewheel",Zoom desktop in or out (Note: Zoom must be enabled in Universal Access settings),Linux Mint,linux,linux_mint
2429,Alt + Print Screen,Take a screenshot of the current window,Linux Mint,linux,linux_mint
2430,F1,Launch Linux Mint online help,Linux Mint,linux,linux_mint
2431,Ctrl + Print Screen,Copy a screenshot to the clipboard,Linux Mint,linux,linux_mint
2432,alt + f10,Maximize/Unmaximize window.,Gnome,linux,gnome
2433,Ctrl + alt + l,Lock screen.,Gnome,linux,gnome
2434,alt + space,Open the window menu.,Gnome,linux,gnome
2435,alt + f8  or  alt +middle click drag,Resize current window.Use mouse or arrow up/arrow down to resize then press any key or click the mouse to finish.,Gnome,linux,gnome
2436,Ctrl + alt + delete,Logout.,Gnome,linux,gnome
2437,alt + f7  or  alt +drag,Move current window.Use mouse or arrow keys to move then press any key or click the mouse to finish.,Gnome,linux,gnome
2438,alt + f4,Close current window.,Gnome,linux,gnome
2439,alt + f5,Restore/Unmaximize current window (if maximized),Gnome,linux,gnome
2440,Ctrl + alt + Shift + r,Begin recording a screencast. (may not be supported in all distributions),Gnome,linux,gnome
2441,alt + f2,Open a command dialog box.,Gnome,linux,gnome
2442,Ctrl + alt + Shift + ArrowUp / ArrowDown,Move current window to workspace up/down,Gnome,linux,gnome
2443,alt + `,Cycle through open windows of a single application (while alt+tab switcher is open).,Gnome,linux,gnome
2444,alt + f6,Cycle through open windows of a single application without invoking the alt+tab switcher,Gnome,linux,gnome
2445,alt + tab,Cycle through open windows. Add shift to cycle in the reverse direction.,Gnome,linux,gnome
2446,win  or  alt + f1,Open the Overview showing all workspaces and windows.,Gnome,linux,gnome
2447,Ctrl + alt + ArrowUp / ArrowDown,Move to workspace up/down,Gnome,linux,gnome
2448,printscreen,Take a screenshot of the current view.,Gnome,linux,gnome
2449,alt + printscreen,Take a screenshot of the current window.,Gnome,linux,gnome
2450,alt + esc,Cycle through open windows without invoking the alt+tab switcher.,Gnome,linux,gnome
2451,alt,"Hold alt while selecting the ""Suspend"" item in the user menu (upper right) to display the ""Shut Down"" option.",Gnome,linux,gnome
2452,G,Open the image with the GNU Image Manipulation Program (GIMP),gThumb,linux,gthumb
2453,C / Ctrl + M,Add Comments or metadata to an image,gThumb,linux,gthumb
2454,],Rotate right losslessly if possible The file is saved automatically,gThumb,linux,gthumb
2455,F2,Rename the image,gThumb,linux,gthumb
2456,[,Rotate left losslessly if possible The file is saved automatically,gThumb,linux,gthumb
2457,F9,Show/Hide the sidebar in the browser mode The sidebar contains the folder tree and the file properties summary (if enabled),gThumb,linux,gthumb
2458,F11 / F,Toggles the fullscreen mode,gThumb,linux,gthumb
2459,E,Edit the image and Opens the viewer and shows the editing tools,gThumb,linux,gthumb
2460,Esc,Closes the viewer or fullscreen mode,gThumb,linux,gthumb
2461,Ctrl + T,Shows/hides the Thumbnails in the browser mode,gThumb,linux,gthumb
2462,I,Show the file properties summary,gThumb,linux,gthumb
2463,F8,Shows/hides the thumbnail pane in the viewer mode,gThumb,linux,gthumb
2464,Shift + Delete,Delete the selected files permanently,gThumb,linux,gthumb
2465,A,Adjust contrast,gThumb,linux,gthumb
2466,Delete,Move the selected files to the Trash,gThumb,linux,gthumb
2467,Spacebar / ArrowDown,Load the next image,gThumb,linux,gthumb
2468,Backspace / ArrowUp,Load the previous image,gThumb,linux,gthumb
2469,P,Pause/Unpause the slideshow,gThumb,linux,gthumb
2470,Esc / Q,Close the slideshow,gThumb,linux,gthumb
2471,Alt + ArrowUp,Go up one level,gThumb,linux,gthumb
2472,F5,Start a slideshow,gThumb,linux,gthumb
2473,Alt + ArrowLeft,Go back to the previously viewed folder,gThumb,linux,gthumb
2474,Alt + ArrowRight,Go forward (after going back to a folder),gThumb,linux,gthumb
2475,ArrowDown / PageDown,Scroll downwards through the thumbnails,gThumb,linux,gthumb
2476,ArrowUp / PageUp,Scroll upwards through the thumbnails,gThumb,linux,gthumb
2477,W,Zoom to fit Width (scales down only does not magnify),gThumb,linux,gthumb
2478,Arrow Keys,Scroll the image,gThumb,linux,gthumb
2479,Home,Go to the first file in the browser view,gThumb,linux,gthumb
2480,End,Go to the last file in the browser view,gThumb,linux,gthumb
2481,Shift + Arrow Keys,Scroll the image faster,gThumb,linux,gthumb
2482,Shift + W,Zoom to fit Width (scale down or magnify as required),gThumb,linux,gthumb
2483,H,Zoom to fit Height (scales down only does not magnify),gThumb,linux,gthumb
2484,Shift + H,Zoom to fit Height (scale down or magnify as required),gThumb,linux,gthumb
2485,L,Flip image,gThumb,linux,gthumb
2486,-,Zoom out,gThumb,linux,gthumb
2487,X / Numpad *,Zoom to fit (scales down only does not magnify),gThumb,linux,gthumb
2488,Shift + X,Zoom to fit (scale down or magnify as required),gThumb,linux,gthumb
2489,1 / Z / Numpad /,Actual size,gThumb,linux,gthumb
2490,Ctrl + D,Add the current location to the bookmarks,gThumb,linux,gthumb
2491,+,Zoom in,gThumb,linux,gthumb
2492,M,Mirror image,gThumb,linux,gthumb
2493,C,Crop image,gThumb,linux,gthumb
2494,Spacebar / PageDown,View the next image,gThumb,linux,gthumb
2495,Backspace / PageUp,View the previous image,gThumb,linux,gthumb
2496,S,Resize image,gThumb,linux,gthumb
2497,R,Rotate right,gThumb,linux,gthumb
2498,Shift + D,Open pinout window for element under mouse cursor,gEDA,linux,geda
2499,C,View: center display at cursor position,gEDA,linux,geda
2500,Ctrl + C,Copy selection to buffer and unselect,gEDA,linux,geda
2501,Shift + V,Increase the diameter of new vias by 5 mil,gEDA,linux,geda
2502,Ctrl + V,Paste from buffer,gEDA,linux,geda
2503,V,Global view of working area,gEDA,linux,geda
2504,Shift + Alt + A,Clear selection,gEDA,linux,geda
2505,B,Flip object to the other side of the board,gEDA,linux,geda
2506,A,Read the parameters to use for new objects from the object below the cursor.,gEDA,linux,geda
2507,Alt + A,Select all objects on active layers. Deactivated layers are ignored.,gEDA,linux,geda
2508,Ctrl + Shift + S,Decrease the hole size,gEDA,linux,geda
2509,Alt + Shift + S,Decrease the hole of the object under the cursor,gEDA,linux,geda
2510,|,Toggles thin draw mode,gEDA,linux,geda
2511,Shift + Backspace,Deletes connected copper under the cursor. Rats are considered a connection.,gEDA,linux,geda
2512,Space,Enter select mode (same as Esc or F11),gEDA,linux,geda
2513,Shift + Del,Delete objects in selection,gEDA,linux,geda
2514,Del,Delete object under the mouse cursor,gEDA,linux,geda
2515,Ctrl + Shift L-Mouse,Delete object under the mouse cursor (fast),gEDA,linux,geda
2516,Return,Same as a click on the left mouse button,gEDA,linux,geda
2517,Shift + Tab,View: horizontal flip,gEDA,linux,geda
2518,Ctrl + Shift + Tab,View: exchange the roles of front side and far side,gEDA,linux,geda
2519,O,Optimize and redraw all rats,gEDA,linux,geda
2520,Shift + M,Move selected objects to the current working layer (see pcb tip),gEDA,linux,geda
2521,Shift + L,Reduce the current linewidth,gEDA,linux,geda
2522,Tab,View: vertical flip,gEDA,linux,geda
2523,Insert,Enter insert point mode. Click and drag on track to insert a point,gEDA,linux,geda
2524,Esc,Enter select mode (same as Space or F11),gEDA,linux,geda
2525,Z,Zoom in,gEDA,linux,geda
2526,Shift + Z,Zoom out,gEDA,linux,geda
2527,F1,Enter via tool,gEDA,linux,geda
2528,H,Toggle the visibility of the refdes or value attached to the component under the cursor,gEDA,linux,geda
2529,G,Increment grid by configured imperial increment,gEDA,linux,geda
2530,Ctrl + F,Add connections to object under mouse cursor to the set of found objects,gEDA,linux,geda
2531,F9,Enter rotate mode,gEDA,linux,geda
2532,F6,Enter polygon tool,gEDA,linux,geda
2533,F7,Enter buffer mode,gEDA,linux,geda
2534,F4,Enter text tool,gEDA,linux,geda
2535,Ctrl + Shift + V,Decrease the diameter of new vias by 5 mil,gEDA,linux,geda
2536,F3,Enter arc tool,gEDA,linux,geda
2537,F2,Enter line tool,gEDA,linux,geda
2538,D,Display pin or pad name,gEDA,linux,geda
2539,F10,File menu,gEDA,linux,geda
2540,Alt + V,Increase the drill diameter of new vias by 5 mil,gEDA,linux,geda
2541,Shift + Alt + V,Decrease the drill diameter of new vias by 5 mil,gEDA,linux,geda
2542,F8,Enter remove mode,gEDA,linux,geda
2543,Ctrl + X,Cut selection to buffer,gEDA,linux,geda
2544,Shift + T,Decrease the size of new text by 10 mil,gEDA,linux,geda
2545,T,Increase the size of new text by 10 mil,gEDA,linux,geda
2546,Ctrl + S,Increase the hole of the object under the cursor,gEDA,linux,geda
2547,S,Increment size of the object under the cursor,gEDA,linux,geda
2548,Shift + S,Decrement size of the object under the cursor,gEDA,linux,geda
2549,Ctrl + R,Show object report,gEDA,linux,geda
2550,Shift + R,Redo what was undone with undo,gEDA,linux,geda
2551,Shift + P,Connect the first point of a polygon with the last,gEDA,linux,geda
2552,Q,Toggle square/round corners on pads,gEDA,linux,geda
2553,Shift + O,Optimize and redraw selected nets only,gEDA,linux,geda
2554,Ctrl + O,Toggle the octagon flag of the object under the cursor,gEDA,linux,geda
2555,Shift + N,Select the shortest unselected rat on the board,gEDA,linux,geda
2556,N,Show object refdes / pin number at mouse pointer,gEDA,linux,geda
2557,Ctrl + M,Set the origin to the current position of the mouse pointer,gEDA,linux,geda
2558,F5,Enter rectangle tool,gEDA,linux,geda
2559,M,Move the object under the cursor to the current layer,gEDA,linux,geda
2560,Ctrl + K,Increment clearance of selected objects (soldermask to copper edge),gEDA,linux,geda
2561,L,Increment width of the line tool adds to the settings of the current line style,gEDA,linux,geda
2562,Shift + Ctrl + K,Decrement clearance of selected objects (soldermask to copper edge),gEDA,linux,geda
2563,Shift + K,Decrement clearance (soldermask to copper edge (NOTE: can go negative!)),gEDA,linux,geda
2564,K,Increment clearance (soldermask to copper edge),gEDA,linux,geda
2565,J,Toggle the polygon clear flag of the line under the cursor,gEDA,linux,geda
2566,Shift + J,Toggle the polygon clear flag of selected lines,gEDA,linux,geda
2567,Shift + H,Toggle the visibility of the refdes or value attached to selected components,gEDA,linux,geda
2568,Ctrl + H,Toggle plating of a via. Used to produce non metalized mounting holes,gEDA,linux,geda
2569,Ctrl + Shift + G,Decrement grid by configured metric increment,gEDA,linux,geda
2570,Shift + G,Decrement grid by configured imperial increment,gEDA,linux,geda
2571,Ctrl + G,Increment grid by configured metric increment,gEDA,linux,geda
2572,Shift + F,Un-highlight found connections,gEDA,linux,geda
2573,E,Delete all rats,gEDA,linux,geda
2574,F,Highlight connections to object under mouse cursor. This includes rats and objects on invisible layers,gEDA,linux,geda
2575,Shift + E,Delete selected rats,gEDA,linux,geda
2576,F12,Enter lock mode,gEDA,linux,geda
2577,F11,Enter select mode (same as Space or Esc),gEDA,linux,geda
2578,Ctrl + V,Paste,gedit 2.3,linux,gedit_2.3
2579,Ctrl + K,Open and focus a search box,gedit 2.3,linux,gedit_2.3
2580,Ctrl + Q,Quit program,gedit 2.3,linux,gedit_2.3
2581,Ctrl + A,Select all,gedit 2.3,linux,gedit_2.3
2582,F1,Help,gedit 2.3,linux,gedit_2.3
2583,Ctrl + S,Save file,gedit 2.3,linux,gedit_2.3
2584,Ctrl + Shift + Z,Redo,gedit 2.3,linux,gedit_2.3
2585,Ctrl + X,Cut selection,gedit 2.3,linux,gedit_2.3
2586,Ctrl + F9,Show/hide the bottom pane,gedit 2.3,linux,gedit_2.3
2587,Ctrl + C,Copy selection,gedit 2.3,linux,gedit_2.3
2588,Ctrl + Z,Undo,gedit 2.3,linux,gedit_2.3
2589,Ctrl + Shift + K,Clear search result highlighting,gedit 2.3,linux,gedit_2.3
2590,Ctrl + G,Find next instance,gedit 2.3,linux,gedit_2.3
2591,Ctrl + F,Find text,gedit 2.3,linux,gedit_2.3
2592,F11,Fullscreen view,gedit 2.3,linux,gedit_2.3
2593,Ctrl + P,Print,gedit 2.3,linux,gedit_2.3
2594,Ctrl + Shift + S,Save file as...,gedit 2.3,linux,gedit_2.3
2595,Ctrl + H,Find and replace text,gedit 2.3,linux,gedit_2.3
2596,Alt + 0 ... 9,Jump to 0 -9th tab,gedit 2.3,linux,gedit_2.3
2597,Ctrl + Alt + PageUp / PageDown,Switch to the previous/next tab.Plugins are available to change this shortcut to ctrl+tab/shift+tab or ctrl+page up/page down,gedit 2.3,linux,gedit_2.3
2598,Ctrl + D,Delete current line,gedit 2.3,linux,gedit_2.3
2599,Ctrl + Shift + P,Print preview,gedit 2.3,linux,gedit_2.3
2600,Ctrl + N,New file,gedit 2.3,linux,gedit_2.3
2601,Ctrl + W,Close current tab,gedit 2.3,linux,gedit_2.3
2602,Ctrl + O,Open file,gedit 2.3,linux,gedit_2.3
2603,Ctrl + I,Go to line number...,gedit 2.3,linux,gedit_2.3
2604,Ctrl + Shift + L,Save all tabs,gedit 2.3,linux,gedit_2.3
2605,Ctrl + Shift + G,Find previous instance,gedit 2.3,linux,gedit_2.3
